variable,missing_n,missing_pct
cod,317,86.85
ammonia_n,305,83.56
sulfate,305,83.56
phosphate,305,83.56
nitrate_n,305,83.56
nitrite_n,305,83.56
fe,305,83.56
bod5,269,73.7
date,0,0
ph,0,0
turbidity,0,0
temperature,0,0
alkalinity,0,0
conductivity_m_s_cm,0,0
tds,0,0
chloride,0,0
salinity,0,0
do_mg_l,0,0
month,0,0
month_name,0,0
season,0,0
source,0,0
fail_ph,0,0
fail_turbidity,0,0
fail_tds,0,0
fail_chloride,0,0
fail_sulfate,0,0
fail_nitrate_n,0,0
fail_nitrite_n,0,0
fail_ammonia,0,0
fail_fe,0,0
fail_do,0,0
fail_bod5,0,0
fail_cod,0,0
exceedance_count,0,0
any_exceedance,0,0
risk_label,0,0
risk_severity,0,0
