parameter,n,missing_n,mean,sd,median,q1,q3,min,max
alkalinity,365,0,54.84109589041096,6.523895966057752,55,50.5,60,37,70
ammonia_n,60,305,0.9615,0.3522942962729324,0.975,0.645,1.24,0.39,1.84
bod5,96,269,1.1070833333333334,0.5534768890086258,0.9500000000000001,0.76,1.2349999999999999,0.43000000000000005,3.59
chloride,365,0,108.02328767123288,180.7360185042426,22,9,125,3,1252
cod,48,317,40.920833333333334,11.048307049158359,40.35,33.724999999999994,49.22500000000001,18.9,63.5
conductivity,365,0,390.627397260274,562.7756939180214,144,62,450,20,3977
do_mg_l,365,0,6.691095890410959,0.29896874787900424,6.659999999999999,6.5,6.94,5.78,7.88
fe,60,305,1.8335,1.0102740440433955,1.645,1.1075,2.3399999999999994,0.49,4.29
nitrate_n,60,305,1.155,0.4457691885847713,1.085,0.8575,1.3425,0.39,2.5
nitrite_n,60,305,0.017416666666666667,0.022607402167616728,0.009,0.0075,0.015,0.004,0.10600000000000001
ph,365,0,7.0883013698630135,0.15781428480061396,7.119999999999999,6.98,7.2,6.35,7.46
phosphate,60,305,0.8568333333333333,0.4931101285413396,0.69,0.4975,1.1075000000000002,0.29000000000000004,2.3099999999999996
salinity,365,0,0.10764383561643837,0.18039314284431,0.02,0.01,0.12000000000000001,0,1.25
sulfate,60,305,29.85,12.727689020266412,29,18.75,36.5,9,61
tds,365,0,195.44657534246576,281.46322056011985,72,31,225,10,1988
temperature,365,0,26.344657534246576,3.1115709620986025,27.5,24.2,28.9,19.3,32
turbidity,365,0,256.4175342465753,144.17781515896698,225,155,318,50.3,992
