season,parameter,n,median,iqr,mean,sd
Dry/winter,alkalinity,90,58.5,6,59.3,4.1113709132741665
Dry/winter,ammonia_n,15,0.74,0.605,0.87,0.3338733720610684
Dry/winter,bod5,24,0.7799999999999999,0.3400000000000001,0.785,0.22188912233071645
Dry/winter,chloride,90,141.5,226.5,214.12222222222223,238.8461414298023
Dry/winter,cod,12,33.45,11.075,32.93333333333333,8.41722620402333
Dry/winter,conductivity,90,508,690.5,738.8777777777777,731.6868739584551
Dry/winter,do_mg_l,90,6.94,0.3149999999999995,6.890666666666666,0.26377041430129
Dry/winter,fe,15,1.5,0.31000000000000005,1.5326666666666666,0.2652079148427477
Dry/winter,nitrate_n,15,1.1700000000000002,0.835,1.0973333333333333,0.5437103570661059
Dry/winter,nitrite_n,15,0.006,0.0035000000000000005,0.007866666666666668,0.0043730778090275875
Dry/winter,ph,90,7.23,0.08999999999999986,7.2492222222222225,0.06848649137329363
Dry/winter,phosphate,15,0.5700000000000001,0.23500000000000004,0.582,0.20036395455698686
Dry/winter,salinity,90,0.14,0.21750000000000003,0.21322222222222223,0.2386376491472204
Dry/winter,sulfate,15,31,13.5,33.2,11.887568536680902
Dry/winter,tds,90,254,345.25,369.64444444444445,366.07318943753415
Dry/winter,temperature,90,21.5,2.075000000000003,21.794444444444444,1.3807147726434146
Dry/winter,turbidity,90,176.5,85.75,173.60444444444445,61.87868324955797
Pre-monsoon,alkalinity,92,56.5,6.125,57.5,4.586171282558801
Pre-monsoon,ammonia_n,15,0.81,0.49,0.8806666666666667,0.2775264895121768
Pre-monsoon,bod5,24,0.975,0.33999999999999986,1.0462500000000001,0.2529961762900604
Pre-monsoon,chloride,92,115,201.5,198.17934782608697,190.6149761410166
Pre-monsoon,cod,12,45.8,11.100000000000009,43.71666666666667,10.21120893326485
Pre-monsoon,conductivity,92,420,535,687,570.6366600580424
Pre-monsoon,do_mg_l,92,6.63,0.34250000000000025,6.617391304347826,0.25578953215235284
Pre-monsoon,fe,15,0.9500000000000001,0.4700000000000002,0.9720000000000001,0.3419105981727638
Pre-monsoon,nitrate_n,15,0.89,0.15999999999999992,0.9006666666666667,0.12308340184413093
Pre-monsoon,nitrite_n,15,0.008,0.0034999999999999988,0.008733333333333333,0.002865226659362887
Pre-monsoon,ph,92,7.14,0.10249999999999915,7.129021739130435,0.07847530279387609
Pre-monsoon,phosphate,15,0.5,0.15500000000000003,0.49333333333333335,0.127148207485071
Pre-monsoon,salinity,92,0.11,0.195,0.19695652173913045,0.19091876835671676
Pre-monsoon,sulfate,15,22,15,25.6,11.456750972991552
Pre-monsoon,tds,92,210,267.5,343.5108695652174,285.356091194236
Pre-monsoon,temperature,92,28.8,1.1249999999999964,28.770652173913042,1.1096517663315346
Pre-monsoon,turbidity,92,268.5,157,284.64565217391305,119.45368260786682
Monsoon,alkalinity,122,48.25,7,48.28688524590164,4.729858572827952
Monsoon,ammonia_n,20,1.255,0.3225,1.258,0.2778034140216878
Monsoon,bod5,32,1.42,1.1149999999999998,1.55,0.7052476115155492
Monsoon,chloride,122,10,7,11.229508196721312,5.234638107812896
Monsoon,cod,16,49.349999999999994,12.024999999999991,48.66875,8.792248006056244
Monsoon,conductivity,122,71.5,47,76.85245901639344,34.19817600161081
Monsoon,do_mg_l,122,6.51,0.1850000000000005,6.483360655737705,0.20287035576730572
Monsoon,fe,20,2.62,1.9899999999999998,2.4905,1.3283368112833907
Monsoon,nitrate_n,20,1.385,0.4325000000000001,1.5005,0.3905256242014021
Monsoon,nitrite_n,20,0.022,0.039,0.03545,0.03239147873649553
Monsoon,ph,122,6.95,0.16000000000000014,6.925327868852459,0.11755908959960007
Monsoon,phosphate,20,1.33,0.8650000000000001,1.2765,0.5758588551482312
Monsoon,salinity,122,0.01,0,0.011557377049180329,0.005607033924180139
Monsoon,sulfate,20,34.5,26.25,32.55,15.462943819950565
Monsoon,tds,122,36,24,38.66393442622951,17.308389336306025
Monsoon,temperature,122,28.5,1.6999999999999993,28.375409836065575,1.3545949640378365
Monsoon,turbidity,122,298,196.5,330.9590163934426,160.74749962920436
Post-monsoon,alkalinity,61,58,7,57.36065573770492,4.65307348922998
Post-monsoon,ammonia_n,10,0.615,0.1924999999999999,0.627,0.1138273546502187
Post-monsoon,bod5,16,0.785,0.3125,0.795625,0.21143852534483873
Post-monsoon,chloride,61,7,6,9.098360655737705,6.339571273708201
Post-monsoon,cod,8,34.4,9.699999999999996,33.2125,7.131106405841141
Post-monsoon,conductivity,61,46,32,57.377049180327866,36.93515215185764
Post-monsoon,do_mg_l,61,7.01,0.33999999999999986,6.92327868852459,0.21492418284498527
Post-monsoon,fe,10,2.245,0.37250000000000005,2.263,0.3502713234051569
Post-monsoon,nitrate_n,10,0.91,0.45750000000000024,0.932,0.2517847405137086
Post-monsoon,nitrite_n,10,0.0085,0.0034999999999999996,0.0087,0.002869378562220979
Post-monsoon,ph,61,7.14,0.11999999999999922,7.115409836065574,0.10385203850497754
Post-monsoon,phosphate,10,0.97,0.39,0.9750000000000001,0.23100024050011533
Post-monsoon,salinity,61,0.01,0,0.009344262295081967,0.00727297565398015
Post-monsoon,sulfate,10,28.5,10.75,25.8,7.067924416372572
Post-monsoon,tds,61,23,16,28.688524590163933,18.46757607592882
Post-monsoon,temperature,61,25.5,1.3999999999999986,25.337704918032788,0.9185430373561219
Post-monsoon,turbidity,61,150,120,186.94426229508196,137.709790894463
