variable,importance
ammonia_n,0.05087723751863604
nitrate_n,0.04977486537850004
phosphate,0.047981118502975734
fe,0.04602736909904764
sulfate,0.024377378357514773
nitrite_n,0.021837566400043643
chloride,0.012092226036528172
cod,0.011316719188701219
salinity,0.010307871560559652
conductivity,0.010130474253849858
tds,0.009227974056876986
bod5,0.00113605774873448
do_mg_l,6.150901146262897e-4
temperature,3.484397225512472e-4
turbidity,1.483432400901956e-4
alkalinity,1.0238006165448266e-4
ph,9.321624530411555e-5
season_Pre.monsoon,8.798270633389904e-5
season_Post.monsoon,1.4705882352941124e-5
season_Monsoon,9.912452535588701e-6
