parameter,PC1,PC2,PC1_arrow,PC2_arrow
ph,-0.3196914115907554,0.004325278588435058,-1.2787656463630217,0.01730111435374023
turbidity,0.15329247807142143,-0.03859838521280397,0.6131699122856857,-0.15439354085121587
temperature,0.20337341540071285,-0.013588262342708966,0.8134936616028514,-0.05435304937083586
alkalinity,-0.2589540594899169,0.11238470137453783,-1.0358162379596676,0.44953880549815134
conductivity,-0.3008258047680159,-0.3653030275225065,-1.2033032190720636,-1.461212110090026
tds,-0.30077283865773663,-0.3653539446773924,-1.2030913546309465,-1.4614157787095696
chloride,-0.29582348123011587,-0.3690912266748953,-1.1832939249204635,-1.4763649066995812
salinity,-0.29510922609116236,-0.36956858525611797,-1.1804369043646494,-1.4782743410244719
do_mg_l,-0.09952571135676808,0.23814593963332098,-0.3981028454270723,0.9525837585332839
bod5,0.23680978860579194,-0.22437543217070557,0.9472391544231678,-0.8975017286828223
cod,0.12515068081101416,-0.2068728561433654,0.5006027232440566,-0.8274914245734616
ammonia_n,0.20039465644668997,-0.3017634720733434,0.8015786257867599,-1.2070538882933737
sulfate,0.13187382725707605,-0.18595394847684857,0.5274953090283042,-0.7438157939073943
phosphate,0.2844079439964531,-0.17252970106576654,1.1376317759858123,-0.6901188042630662
nitrate_n,0.24590356660069512,-0.23797862736080144,0.9836142664027805,-0.9519145094432058
nitrite_n,0.27366336812281306,-0.24275816842156014,1.0946534724912522,-0.9710326736862406
fe,0.23425556847291268,-0.15846544131240087,0.9370222738916507,-0.6338617652496035
