river_state,parameter,median,iqr
State 1,ammonia_n,1.23,0.17999999999999994
State 1,bod5,0.98,0.17000000000000004
State 1,cod,45.1,8.899999999999999
State 1,conductivity,1447.5,864.5
State 1,do_mg_l,6.48,0.39250000000000007
State 1,exceedance_count,1,2
State 1,fe,1.3,0.1399999999999999
State 1,nitrate_n,0.97,0.3075000000000001
State 1,nitrite_n,0.007,0.003
State 1,ph,7.2,0.06500000000000039
State 1,phosphate,0.365,0.08000000000000002
State 1,salinity,0.455,0.2825
State 1,sulfate,31.5,12.5
State 1,tds,724,432
State 1,temperature,24.65,6.3749999999999964
State 1,turbidity,200,106.875
State 2,ammonia_n,0.74,0.42000000000000004
State 2,bod5,0.9,0.3925000000000003
State 2,cod,37.4,13.949999999999996
State 2,conductivity,115.5,285
State 2,do_mg_l,6.71,0.45999999999999996
State 2,exceedance_count,1,1
State 2,fe,1.52,1.37
State 2,nitrate_n,1.05,0.3999999999999999
State 2,nitrite_n,0.009,0.004999999999999999
State 2,ph,7.095,0.21249999999999947
State 2,phosphate,0.65,0.41000000000000003
State 2,salinity,0.02,0.060000000000000005
State 2,sulfate,25,15
State 2,tds,58,142.5
State 2,temperature,27.55,4.399999999999999
State 2,turbidity,225,170.75
State 3,ammonia_n,1.43,0.21499999999999986
State 3,bod5,2.05,0.6849999999999996
State 3,cod,50.1,9.300000000000004
State 3,conductivity,70,31.5
State 3,do_mg_l,6.49,0.15999999999999925
State 3,exceedance_count,5,0
State 3,fe,2.8299999999999996,1.7899999999999991
State 3,nitrate_n,1.6500000000000001,0.48
State 3,nitrite_n,0.049,0.05800000000000001
State 3,ph,6.91,0.14000000000000057
State 3,phosphate,1.5,0.6299999999999997
State 3,salinity,0.01,0
State 3,sulfate,43,11
State 3,tds,35,16
State 3,temperature,28.6,1.5500000000000007
State 3,turbidity,290,71.5
